Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 2,097,152
  transformer_matrices    : 20,972,544
  scalars                 : 16
  total                   : 41,944,080
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 8.318209 | lrm: 1.00 | dt: 2464ms | tok/sec: 53,195 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.231160 | lrm: 1.00 | dt: 242ms | tok/sec: 541,170 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.849988 | lrm: 1.00 | dt: 243ms | tok/sec: 539,636 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.442455 | lrm: 1.00 | dt: 242ms | tok/sec: 540,626 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.087637 | lrm: 1.00 | dt: 243ms | tok/sec: 540,403 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 6.810007 | lrm: 1.00 | dt: 243ms | tok/sec: 540,233 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.582871 | lrm: 1.00 | dt: 243ms | tok/sec: 539,682 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.391219 | lrm: 1.00 | dt: 243ms | tok/sec: 539,616 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.233675 | lrm: 1.00 | dt: 243ms | tok/sec: 539,325 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.104835 | lrm: 1.00 | dt: 243ms | tok/sec: 539,512 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.994543 | lrm: 1.00 | dt: 243ms | tok/sec: 538,689 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.893351 | lrm: 1.00 | dt: 243ms | tok/sec: 538,786 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 5.806953 | lrm: 1.00 | dt: 243ms | tok/sec: 539,113 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.731880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,836 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00316 (24.8%) | loss: 3.138006 | lrm: 1.00 | dt: 244ms | tok/sec: 536,637 | mfu: 13.0% | epoch: 1 | remaining: 225s    
step 00317 (24.9%) | loss: 3.139523 | lrm: 1.00 | dt: 244ms | tok/sec: 536,301 | mfu: 13.0% | epoch: 1 | remaining: 225s    
step 00318 (25.0%) | loss: 3.148568 | lrm: 1.00 | dt: 244ms | tok/sec: 536,354 | mfu: 13.0% | epoch: 1 | remaining: 225s    
step 00319 (25.1%) | loss: 3.145175 | lrm: 1.00 | dt: 244ms | tok/sec: 536,749 | mfu: 13.0% | epoch: 1 | remaining: 225s    
step 00320 (25.1%) | loss: 3.136658 | lrm: 1.00 | dt: 244ms | tok/sec: 536,730 | mfu: 13.0% | epoch: 1 | remaining: 224s    
step 00321 (25.2%) | loss: 3.131379 | lrm: 1.00 | dt: 244ms | tok/sec: 536,654 | mfu: 13.0% | epoch: 1 | remaining: 224s    
step 00322 (25.3%) | loss: 3.123230 | lrm: 1.00 | dt: 245ms | tok/sec: 535,978 | mfu: 13.0% | epoch: 1 | remaining: 224s    
step 00323 (25.4%) | loss: 3.122287 | lrm: 1.00 | dt: 244ms | tok/sec: 536,805 | mfu: 13.0% | epoch: 1 | remaining: 224s    
step 00324 (25.5%) | loss: 3.120935 | lrm: 1.00 | dt: 244ms | tok/sec: 536,667 | mfu: 13.0% | epoch: 1 | remaining: 223s    
step 00325 (25.5%) | loss: 3.127688 | lrm: 1.00 | dt: 244ms | tok/sec: 536,560 | mfu: 13.0% | epoch: 1 | remaining: 223s    
step 00326 (25.6%) | loss: 3.127265 | lrm: 1.00 | dt: 245ms | tok/sec: 535,861 | mfu: 12.9% | epoch: 1 | remaining: 223s    
step 00327 (25.7%) | loss: 3.126515 | lrm: 1.00 | dt: 244ms | tok/sec: 536,358 | mfu: 13.0% | epoch: 1 | remaining: 223s    
step 00328 (25.8%) | loss: 3.121903 | lrm: 1.00 | dt: 244ms | tok/sec: 536,465 | mfu: 13.0% | epoch: 1 | remaining: 222s    
step 00329 (25.9%) | loss: 3.119308 | lrm: 1.00 | dt: 244ms | tok/sec: 536,410 | mfu: 13.0% | epoch: 1 | remaining: 222s    
step 00330 (25.9%) | loss: 3.120740 | lrm: 1.00 | dt: 244ms | tok/sec: 536,237 | mfu: 13.0% | epoch: 1 | remaining: 222s    
step 00331 (26.0%) | loss: 3.114673 | lrm: 1.00 | dt: 244ms | tok/sec: 536,691 | mfu: 13.0% | epoch: 1 | remaining: 222s    
step 00332 (26.1%) | loss: 3.118061 | lrm: 1.00 | dt: 244ms | tok/sec: 536,285 | mfu: 13.0% | epoch: 1 | remaining: 221s    
step 00333 (26.2%) | loss: 3.115559 | lrm: 1.00 | dt: 245ms | tok/sec: 536,048 | mfu: 13.0% | epoch: 1 | remaining: 221s    
step 00334 (26.3%) | loss: 3.117012 | lrm: 1.00 | dt: 245ms | tok/sec: 535,759 | mfu: 12.9% | epoch: 1 | remaining: 221s    
step 00335 (26.4%) | loss: 3.115042 | lrm: 1.00 | dt: 245ms | tok/sec: 536,018 | mfu: 13.0% | epoch: 1 | remaining: 221s    
step 00336 (26.4%) | loss: 3.120243 | lrm: 1.00 | dt: 244ms | tok/sec: 536,226 | mfu: 13.0% | epoch: 1 | remaining: 220s    
step 00337 (26.5%) | loss: 3.123011 | lrm: 1.00 | dt: 244ms | tok/sec: 536,096 | mfu: 13.0% | epoch: 1 | remaining: 220s    
step 00338 (26.6%) | loss: 3.121882 | lrm: 1.00 | dt: 245ms | tok/sec: 535,929 | mfu: 12.9% | epoch: 1 | remaining: 220s    
step 00339 (26.7%) | loss: 3.117728 | lrm: 1.00 | dt: 245ms | tok/sec: 536,042 | mfu: 13.0% | epoch: 1 | remaining: 220s    
step 00340 (26.8%) | loss: 3.127034 | lrm: 1.00 | dt: 245ms | tok/sec: 535,974 | mfu: 13.0% | epoch: 1 | remaining: 219s    
step 00341 (26.8%) | loss: 3.122443 | lrm: 1.00 | dt: 244ms | tok/sec: 536,306 | mfu: 13.0% | epoch: 1 | remaining: 219s    
step 00342 (26.9%) | loss: 3.122376 | lrm: 1.00 | dt: 245ms | tok/sec: 535,910 | mfu: 12.9% | epoch: 1 | remaining: 219s    
step 00343 (27.0%) | loss: 3.127745 | lrm: 1.00 | dt: 245ms | tok/sec: 535,742 | mfu: 12.9% | epoch: 1 | remaining: 219s    
step 00344 (27.1%) | loss: 3.128158 | lrm: 1.00 | dt: 245ms | tok/sec: 536,067 | mfu: 13.0% | epoch: 1 | remaining: 218s    
step 00345 (27.2%) | loss: 3.132596 | lrm: 1.00 | dt: 244ms | tok/sec: 536,407 | mfu: 13.0% | epoch: 1 | remaining: 218s    
step 00346 (27.3%) | loss: 3.131118 | lrm: 1.00 | dt: 245ms | tok/sec: 535,653 | mfu: 12.9% | epoch: 1 | remaining: 218s    
step 00347 (27.3%) | loss: 3.135787 | lrm: 1.00 | dt: 245ms | tok/sec: 535,970 | mfu: 13.0% | epoch: 1 | remaining: 218s    
step 00348 (27.4%) | loss: 3.128463 | lrm: 1.00 | dt: 245ms | tok/sec: 535,837 | mfu: 12.9% | epoch: 1 | remaining: 218s    
step 00349 (27.5%) | loss: 3.122428 | lrm: 1.00 | dt: 245ms | tok/sec: 535,805 | mfu: 12.9% | epoch: 1 | remaining: 217s    
step 00350 (27.6%) | loss: 3.116079 | lrm: 1.00 | dt: 245ms | tok/sec: 535,948 | mfu: 12.9% | epoch: 1 | remaining: 217s    
step 00351 (27.7%) | loss: 3.105936 | lrm: 1.00 | dt: 245ms | tok/sec: 535,666 | mfu: 12.9% | epoch: 1 | remaining: 217s    
step 00352 (27.7%) | loss: 3.111585 | lrm: 1.00 | dt: 245ms | tok/sec: 535,330 | mfu: 12.9% | epoch: 1 | remaining: 217s    
step 00353 (27.8%) | loss: 3.106489 | lrm: 1.00 | dt: 244ms | tok/sec: 536,136 | mfu: 13.0% | epoch: 1 | remaining: 216s    
step 00354 (27.9%) | loss: 3.104106 | lrm: 1.00 | dt: 245ms | tok/sec: 535,982 | mfu: 13.0% | epoch: 1 | remaining: 216s    
step 00355 (28.0%) | loss: 3.103283 | lrm: 1.00 | dt: 244ms | tok/sec: 536,383 | mfu: 13.0% | epoch: 1 | remaining: 216s    
step 00356 (28.1%) | loss: 3.106520 | lrm: 1.00 | dt: 244ms | tok/sec: 536,177 | mfu: 13.0% | epoch: 1 | remaining: 216s    
step 00357 (28.1%) | loss: 3.096971 | lrm: 1.00 | dt: 244ms | tok/sec: 536,093 | mfu: 13.0% | epoch: 1 | remaining: 215s    
step 00358 (28.2%) | loss: 3.095769 | lrm: 1.00 | dt: 244ms | tok/sec: 536,137 | mfu: 13.0% | epoch: 1 | remaining: 215s    
step 00359 (28.3%) | loss: 3.095294 | lrm: 1.00 | dt: 245ms | tok/sec: 535,836 | mfu: 12.9% | epoch: 1 | remaining: 215s    
step 00360 (28.4%) | loss: 3.096219 | lrm: 1.00 | dt: 245ms | tok/sec: 536,074 | mfu: 13.0% | epoch: 1 | remaining: 215s    
step 00361 (28.5%) | loss: 3.093158 | lrm: 1.00 | dt: 244ms | tok/sec: 536,308 | mfu: 13.0% | epoch: 1 | remaining: 214s    
step 00362 (28.6%) | loss: 3.094419 | lrm: 1.00 | dt: 244ms | tok/sec: 536,423 | mfu: 13.0% | epoch: 1 | remaining: 214s    
step 00363 (28.6%) | loss: 3.086192 | lrm: 1.00 | dt: 244ms | tok/sec: 536,221 | mfu: 13.0% | epoch: 1 | remaining: 214s    
step 00364 (28.7%) | loss: 3.078938 | lrm: 1.00 | dt: 245ms | tok/sec: 536,016 | mfu: 13.0% | epoch: 1 | remaining: 214s    
step 00365 (28.8%) | loss: 3.078876 | lrm: 1.00 | dt: 245ms | tok/sec: 535,759 | mfu: 12.9% | epoch: 1 | remaining: 213s    
step 00366 (28.9%) | loss: 3.083290 | lrm: 1.00 | dt: 245ms | tok/sec: 535,849 | mfu: 12.9% | epoch: 1 | remaining: 213s    
step 00367 (29.0%) | loss: 3.081311 | lrm: 1.00 | dt: 244ms | tok/sec: 536,086 | mfu: 13.0% | epoch: 1 | remaining: 213s    
step 00368 (29.0%) | loss: 3.079566 | lrm: 1.00 | dt: 245ms | tok/sec: 535,863 | mfu: 12.9% | epoch: 1 | remaining: 213s    
step 00369 (29.1%) | loss: 3.081571 | lrm: 1.00 | dt: 245ms | tok/sec: 536,066 | mfu: 13.0% | epoch: 1 | remaining: 212s    
step 00370 (29.2%) | loss: 3.082642 | lrm: 1.00 | dt: 245ms | tok/sec: 535,717 | mfu: 12.9% | epoch: 1 | remaining: 212s    
step 00371 (29.3%) | loss: 3.082598 | lrm: 1.00 | dt: 245ms | tok/sec: 536,048 | mfu: 13.0% | epoch: 1 | remaining: 212s    
step 00372 (29.4%) | loss: 3.077466 | lrm: 1.00 | dt: 244ms | tok/sec: 536,180 | mfu: 13.0% | epoch: 1 | remaining: 212s    
step 00373 (29.5%) | loss: 3.076920 | lrm: 1.00 | dt: 245ms | tok/sec: 536,012 | mfu: 13.0% | epoch: 1 | remaining: 211s    
step 00374 (29.5%) | loss: 3.074238 | lrm: 1.00 | dt: 245ms | tok/sec: 535,796 | mfu: 12.9% | epoch: 1 | remaining: 211s    
step 00375 (29.6%) | loss: 3.079094 | lrm: 1.00 | dt: 244ms | tok/sec: 536,095 | mfu: 13.0% | epoch: 1 | remaining: 211s    
step 00376 (29.7%) | loss: 3.072642 | lrm: 1.00 | dt: 245ms | tok/sec: 536,056 | mfu: 13.0% | epoch: 1 | remaining: 211s    
step 00377 (29.8%) | loss: 3.071485 | lrm: 1.00 | dt: 245ms | tok/sec: 535,749 | mfu: 12.9% | epoch: 1 | remaining: 210s    
step 00378 (29.9%) | loss: 3.066314 | lrm: 1.00 | dt: 245ms | tok/sec: 535,833 | mfu: 12.9% | epoch: 1 | remaining: 210s    
step 00379 (29.9%) | loss: 3.069110 | lrm: 1.00 | dt: 245ms | tok/sec: 535,905 | mfu: 12.9% | epoch: 1 | remaining: 210s    
step 00380 (30.0%) | loss: 3.072413 | lrm: 1.00 | dt: 244ms | tok/sec: 536,482 | mfu: 13.0% | epoch: 1 | remaining: 210s    
step 00381 (30.1%) | loss: 3.079393 | lrm: 1.00 | dt: 244ms | tok/sec: 536,368 | mfu: 13.0% | epoch: 1 | remaining: 209s    
step 00382 (30.2%) | loss: 3.086065 | lrm: 1.00 | dt: 245ms | tok/sec: 535,973 | mfu: 13.0% | epoch: 1 | remaining: 209s    
step 00383 (30.3%) | loss: 3.083855 | lrm: 1.00 | dt: 245ms | tok/sec: 535,786 | mfu: 12.9% | epoch: 1 | remaining: 209s    
step 00384 (30.3%) | loss: 3.076124 | lrm: 1.00 | dt: 244ms | tok/sec: 536,141 | mfu: 13.0% | epoch: 1 | remaining: 209s    
step 00385 (30.4%) | loss: 3.083322 | lrm: 1.00 | dt: 244ms | tok/sec: 536,230 | mfu: 13.0% | epoch: 1 | remaining: 208s    
step 00386 (30.5%) | loss: 3.086576 | lrm: 1.00 | dt: 245ms | tok/sec: 536,063 | mfu: 13.0% | epoch: 1 | remaining: 208s    
step 00387 (30.6%) | loss: 3.080728 | lrm: 1.00 | dt: 245ms | tok/sec: 535,581 | mfu: 12.9% | epoch: 1 | remaining: 208s    
step 00388 (30.7%) | loss: 3.082290 | lrm: 1.00 | dt: 244ms | tok/sec: 536,443 | mfu: 13.0% | epoch: 1 | remaining: 208s    
step 00389 (30.8%) | loss: 3.077764 | lrm: 1.00 | dt: 244ms | tok/sec: 536,375 | mfu: 13.0% | epoch: 1 | remaining: 207s    
step 00390 (30.8%) | loss: 3.083165 | lrm: 1.00 | dt: 245ms | tok/sec: 535,974 | mfu: 13.0% | epoch: 1 | remaining: 207s    
step 00391 (30.9%) | loss: 3.080505 | lrm: 1.00 | dt: 245ms | tok/sec: 535,844 | mfu: 12.9% | epoch: 1 | remaining: 207s    
step 00392 (31.0%) | loss: 3.073157 | lrm: 1.00 | dt: 244ms | tok/sec: 536,135 | mfu: 13.0% | epoch: 1 | remaining: 207s    
step 00393 (31.1%) | loss: 3.066822 | lrm: 1.00 | dt: 244ms | tok/sec: 536,119 | mfu: 13.0% | epoch: 1 | remaining: 207s    
step 00394 (31.2%) | loss: 3.066013 | lrm: 1.00 | dt: 245ms | tok/sec: 535,992 | mfu: 13.0% | epoch: 1 | remaining: 206s    
step 00395 (31.2%) | loss: 3.065821 | lrm: 1.00 | dt: 245ms | tok/sec: 535,625 | mfu: 12.9% | epoch: 1 | remaining: 206s    
step 00396 (31.3%) | loss: 3.069513 | lrm: 1.00 | dt: 245ms | tok/sec: 535,865 | mfu: 12.9% | epoch: 1 | remaining: 206s    
step 00397 (31.4%) | loss: 3.064939 | lrm: 1.00 | dt: 244ms | tok/sec: 536,441 | mfu: 13.0% | epoch: 1 | remaining: 206s    
step 00398 (31.5%) | loss: 3.060071 | lrm: 1.00 | dt: 244ms | tok/sec: 536,455 | mfu: 13.0% | epoch: 1 | remaining: 205s    
step 00399 (31.6%) | loss: 3.060343 | lrm: 1.00 | dt: 245ms | tok/sec: 535,701 | mfu: 12.9% | epoch: 1 | remaining: 205s    
step 00400 (31.7%) | loss: 3.055633 | lrm: 1.00 | dt: 245ms | tok/sec: 535,835 | mfu: 12.9% | epoch: 1 | remaining: 205s    
step 00401 (31.7%) | loss: 3.052163 | lrm: 1.00 | dt: 244ms | tok/sec: 536,480 | mfu: 13.0% | epoch: 1 | remaining: 205s    
step 00402 (31.8%) | loss: 3.054460 | lrm: 1.00 | dt: 245ms | tok/sec: 535,911 | mfu: 12.9% | epoch: 1 | remaining: 204s    
step 00403 (31.9%) | loss: 3.057246 | lrm: 1.00 | dt: 245ms | tok/sec: 535,799 | mfu: 12.9% | epoch: 1 | remaining: 204s    
step 00404 (32.0%) | loss: 3.061256 | lrm: 1.00 | dt: 244ms | tok/sec: 536,283 | mfu: 13.0% | epoch: 1 | remaining: 204s    
step 00405 (32.1%) | loss: 3.058602 | lrm: 1.00 | dt: 244ms | tok/sec: 536,368 | mfu: 13.0% | epoch: 1 | remaining: 204s    
step 00406 (32.1%) | loss: 3.055915 | lrm: 1.00 | dt: 244ms | tok/sec: 536,358 | mfu: 13.0% | epoch: 1 | remaining: 203s    
step 00407 (32.2%) | loss: 3.054686 | lrm: 1.00 | dt: 245ms | tok/sec: 535,951 | mfu: 12.9% | epoch: 1 | remaining: 203s    
step 00408 (32.3%) | loss: 3.049344 | lrm: 1.00 | dt: 245ms | tok/sec: 535,366 | mfu: 12.9% | epoch: 1 | remaining: 203s    
step 00409 (32.4%) | loss: 3.048361 | lrm: 1.00 | dt: 244ms | tok/sec: 536,149 | mfu: 13.0% | epoch: 1 | remaining: 203s    
step 00410 (32.5%) | loss: 3.043886 | lrm: 1.00 | dt: 244ms | tok/sec: 536,437 | mfu: 13.0% | epoch: 1 | remaining: 202s    
step 00411 (32.5%) | loss: 3.040642 | lrm: 1.00 | dt: 244ms | tok/sec: 536,326 | mfu: 13.0% | epoch: 1 | remaining: 202s    
step 00412 (32.6%) | loss: 3.045351 | lrm: 1.00 | dt: 245ms | tok/sec: 536,073 | mfu: 13.0% | epoch: 1 | remaining: 202s    
step 00413 (32.7%) | loss: 3.042917 | lrm: 1.00 | dt: 244ms | tok/sec: 536,120 | mfu: 13.0% | epoch: 1 | remaining: 202s    
step 00414 (32.8%) | loss: 3.045522 | lrm: 1.00 | dt: 244ms | tok/sec: 536,403 | mfu: 13.0% | epoch: 1 | remaining: 201s    
step 00415 (32.9%) | loss: 3.044168 | lrm: 1.00 | dt: 244ms | tok/sec: 536,314 | mfu: 13.0% | epoch: 1 | remaining: 201s    
step 00416 (33.0%) | loss: 3.049217 | lrm: 1.00 | dt: 245ms | tok/sec: 535,755 | mfu: 12.9% | epoch: 1 | remaining: 201s    
step 00417 (33.0%) | loss: 3.044097 | lrm: 1.00 | dt: 245ms | tok/sec: 535,927 | mfu: 12.9% | epoch: 1 | remaining: 201s    
step 00418 (33.1%) | loss: 3.045785 | lrm: 1.00 | dt: 245ms | tok/sec: 535,624 | mfu: 12.9% | epoch: 1 | remaining: 200s    
step 00419 (33.2%) | loss: 3.048155 | lrm: 1.00 | dt: 245ms | tok/sec: 535,914 | mfu: 12.9% | epoch: 1 | remaining: 200s    
step 00420 (33.3%) | loss: 3.049251 | lrm: 1.00 | dt: 244ms | tok/sec: 536,908 | mfu: 13.0% | epoch: 1 | remaining: 200s    
step 00421 (33.4%) | loss: 3.050896 | lrm: 1.00 | dt: 245ms | tok/sec: 535,703 | mfu: 12.9% | epoch: 1 | remaining: 200s    
step 00422 (33.4%) | loss: 3.051814 | lrm: 1.00 | dt: 245ms | tok/sec: 535,799 | mfu: 12.9% | epoch: 1 | remaining: 199s    
step 00423 (33.5%) | loss: 3.058632 | lrm: 1.00 | dt: 244ms | tok/sec: 536,202 | mfu: 13.0% | epoch: 1 | remaining: 199s    
step 00424 (33.6%) | loss: 3.058487 | lrm: 1.00 | dt: 244ms | tok/sec: 536,125 | mfu: 13.0% | epoch: 1 | remaining: 199s    
step 00425 (33.7%) | loss: 3.059886 | lrm: 1.00 | dt: 244ms | tok/sec: 536,088 | mfu: 13.0% | epoch: 1 | remaining: 199s    
step 00426 (33.8%) | loss: 3.059997 | lrm: 1.00 | dt: 244ms | tok/sec: 536,229 | mfu: 13.0% | epoch: 1 | remaining: 198s    
step 00427 (33.9%) | loss: 3.060671 | lrm: 1.00 | dt: 244ms | tok/sec: 536,566 | mfu: 13.0% | epoch: 1 | remaining: 198s    
step 00428 (33.9%) | loss: 3.063231 | lrm: 1.00 | dt: 245ms | tok/sec: 535,727 | mfu: 12.9% | epoch: 1 | remaining: 198s    
step 00429 (34.0%) | loss: 3.064978 | lrm: 1.00 | dt: 244ms | tok/sec: 536,126 | mfu: 13.0% | epoch: 1 | remaining: 198s    
step 00430 (34.1%) | loss: 3.064340 | lrm: 1.00 | dt: 245ms | tok/sec: 536,077 | mfu: 13.0% | epoch: 1 | remaining: 197s    
step 00431 (34.2%) | loss: 3.061300 | lrm: 1.00 | dt: 244ms | tok/sec: 536,351 | mfu: 13.0% | epoch: 1 | remaining: 197s    
step 00432 (34.3%) | loss: 3.052651 | lrm: 1.00 | dt: 245ms | tok/sec: 536,011 | mfu: 13.0% | epoch: 1 | remaining: 197s    
step 00433 (34.3%) | loss: 3.053020 | lrm: 1.00 | dt: 244ms | tok/sec: 536,215 | mfu: 13.0% | epoch: 1 | remaining: 197s    
step 00434 (34.4%) | loss: 3.047637 | lrm: 1.00 | dt: 245ms | tok/sec: 535,881 | mfu: 12.9% | epoch: 1 | remaining: 196s    
step 00435 (34.5%) | loss: 3.050606 | lrm: 1.00 | dt: 245ms | tok/sec: 535,949 | mfu: 12.9% | epoch: 1 | remaining: 196s    
step 00436 (34.6%) | loss: 3.044765 | lrm: 1.00 | dt: 245ms | tok/sec: 535,935 | mfu: 12.9% | epoch: 1 | remaining: 196s    
step 00437 (34.7%) | loss: 3.040253 | lrm: 1.00 | dt: 244ms | tok/sec: 536,207 | mfu: 13.0% | epoch: 1 | remaining: 196s    
step 00438 (34.7%) | loss: 3.039277 | lrm: 1.00 | dt: 245ms | tok/sec: 536,000 | mfu: 13.0% | epoch: 1 | remaining: 196s    
step 00439 (34.8%) | loss: 3.035132 | lrm: 1.00 | dt: 245ms | tok/sec: 535,991 | mfu: 13.0% | epoch: 1 | remaining: 195s    
step 00440 (34.9%) | loss: 3.034782 | lrm: 1.00 | dt: 244ms | tok/sec: 536,202 | mfu: 13.0% | epoch: 1 | remaining: 195s    
step 00441 (35.0%) | loss: 3.030482 | lrm: 1.00 | dt: 244ms | tok/sec: 536,289 | mfu: 13.0% | epoch: 1 | remaining: 195s    
step 00442 (35.1%) | loss: 3.028443 | lrm: 1.00 | dt: 244ms | tok/sec: 536,269 | mfu: 13.0% | epoch: 1 | remaining: 195s    
step 00443 (35.2%) | loss: 3.028855 | lrm: 1.00 | dt: 244ms | tok/sec: 536,260 | mfu: 13.0% | epoch: 1 | remaining: 194s    
step 00444 (35.2%) | loss: 3.032284 | lrm: 1.00 | dt: 244ms | tok/sec: 536,352 | mfu: 13.0% | epoch: 1 | remaining: 194s    
step 00445 (35.3%) | loss: 3.032556 | lrm: 1.00 | dt: 244ms | tok/sec: 536,396 | mfu: 13.0% | epoch: 1 | remaining: 194s    
step 00446 (35.4%) | loss: 3.030188 | lrm: 1.00 | dt: 244ms | tok/sec: 536,574 | mfu: 13.0% | epoch: 1 | remaining: 194s    
step 00447 (35.5%) | loss: 3.029789 | lrm: 1.00 | dt: 245ms | tok/sec: 535,987 | mfu: 13.0% | epoch: 1 | remaining: 193s    
step 00448 (35.6%) | loss: 3.033846 | lrm: 1.00 | dt: 245ms | tok/sec: 535,813 | mfu: 12.9% | epoch: 1 | remaining: 193s    
step 00449 (35.6%) | loss: 3.034039 | lrm: 1.00 | dt: 244ms | tok/sec: 536,247 | mfu: 13.0% | epoch: 1 | remaining: 193s    
step 00450 (35.7%) | loss: 3.027034 | lrm: 1.00 | dt: 244ms | tok/sec: 536,469 | mfu: 13.0% | epoch: 1 | remaining: 193s    
step 00451 (35.8%) | loss: 3.019692 | lrm: 1.00 | dt: 244ms | tok/sec: 536,175 | mfu: 13.0% | epoch: 1 | remaining: 192s    
step 00452 (35.9%) | loss: 3.016935 | lrm: 1.00 | dt: 245ms | tok/sec: 535,981 | mfu: 13.0% | epoch: 1 | remaining: 192s    
step 00453 (36.0%) | loss: 3.015863 | lrm: 1.00 | dt: 244ms | tok/sec: 536,313 | mfu: 13.0% | epoch: 1 | remaining: 192s    
step 00454 (36.1%) | loss: 3.014259 | lrm: 1.00 | dt: 244ms | tok/sec: 536,569 | mfu: 13.0% | epoch: 1 | remaining: 192s    
step 00455 (36.1%) | loss: 3.010369 | lrm: 1.00 | dt: 244ms | tok/sec: 536,173 | mfu: 13.0% | epoch: 1 | remaining: 191s    
step 00456 (36.2%) | loss: 3.010081 | lrm: 1.00 | dt: 245ms | tok/sec: 535,899 | mfu: 12.9% | epoch: 1 | remaining: 191s    
step 00457 (36.3%) | loss: 3.004465 | lrm: 1.00 | dt: 245ms | tok/sec: 535,804 | mfu: 12.9% | epoch: 1 | remaining: 191s    
step 00458 (36.4%) | loss: 3.006286 | lrm: 1.00 | dt: 244ms | tok/sec: 536,518 | mfu: 13.0% | epoch: 1 | remaining: 191s    
step 00459 (36.5%) | loss: 3.004588 | lrm: 1.00 | dt: 244ms | tok/sec: 536,230 | mfu: 13.0% | epoch: 1 | remaining: 190s    
step 00460 (36.5%) | loss: 3.005097 | lrm: 1.00 | dt: 245ms | tok/sec: 535,822 | mfu: 12.9% | epoch: 1 | remaining: 190s    
step 00461 (36.6%) | loss: 3.001583 | lrm: 1.00 | dt: 244ms | tok/sec: 536,180 | mfu: 13.0% | epoch: 1 | remaining: 190s    
step 00462 (36.7%) | loss: 2.999051 | lrm: 1.00 | dt: 244ms | tok/sec: 536,100 | mfu: 13.0% | epoch: 1 | remaining: 190s    
step 00463 (36.8%) | loss: 2.991894 | lrm: 1.00 | dt: 244ms | tok/sec: 536,438 | mfu: 13.0% | epoch: 1 | remaining: 189s    
step 00464 (36.9%) | loss: 2.989053 | lrm: 1.00 | dt: 244ms | tok/sec: 536,150 | mfu: 13.0% | epoch: 1 | remaining: 189s    
step 00465 (36.9%) | loss: 2.986393 | lrm: 1.00 | dt: 245ms | tok/sec: 535,758 | mfu: 12.9% | epoch: 1 | remaining: 189s    
step 00466 (37.0%) | loss: 2.980462 | lrm: 1.00 | dt: 244ms | tok/sec: 536,472 | mfu: 13.0% | epoch: 1 | remaining: 189s    
step 00467 (37.1%) | loss: 2.979288 | lrm: 1.00 | dt: 244ms | tok/sec: 536,385 | mfu: 13.0% | epoch: 1 | remaining: 188s    
step 00468 (37.2%) | loss: 2.982714 | lrm: 1.00 | dt: 244ms | tok/sec: 536,271 | mfu: 13.0% | epoch: 1 | remaining: 188s    
step 00469 (37.3%) | loss: 2.983247 | lrm: 1.00 | dt: 245ms | tok/sec: 535,964 | mfu: 12.9% | epoch: 1 | remaining: 188s    
step 00470 (37.4%) | loss: 2.990046 | lrm: 1.00 | dt: 244ms | tok/sec: 536,354 | mfu: 13.0% | epoch: 1 | remaining: 188s    
step 00471 (37.4%) | loss: 2.990506 | lrm: 1.00 | dt: 244ms | tok/sec: 536,475 | mfu: 13.0% | epoch: 1 | remaining: 187s    
step 00472 (37.5%) | loss: 2.985659 | lrm: 1.00 | dt: 244ms | tok/sec: 536,407 | mfu: 13.0% | epoch: 1 | remaining: 187s    
step 00473 (37.6%) | loss: 2.984806 | lrm: 1.00 | dt: 245ms | tok/sec: 536,049 | mfu: 13.0% | epoch: 1 | remaining: 187s    
step 00474 (37.7%) | loss: 2.994316 | lrm: 1.00 | dt: 244ms | tok/sec: 536,393 | mfu: 13.0% | epoch: 1 | remaining: 187s    
